"Player Overview"
"Player","Total attacks","Unused attacks","Total stars","Avg star per attack"
"TRSickler","3","1","5","1.7"
"trrravesty","4","0","9","2.2"
"The Man Above","4","0","6","1.5"
"rhino0117","4","0","8","2.0"
"Morenaza","3","1","3","1.0"
"Happy Times","2","2","4","2.0"
"Lefteris","4","0","7","1.8"
"Crepe Devourer","3","1","6","2.0"
"Anmol","2","2","5","2.5"
"Pin hed Dann","4","0","11","2.8"
"QuEEn oF MHinE™","4","0","7","1.8"
"Neo","2","1","3","1.5"
"Anadil Ehsan","4","0","9","2.2"
"Cerulean","4","0","10","2.5"
"skandaluur101","0","2","0","0"
"Yvovel","1","1","2","2.0"
"AerialThreat","2","0","4","2.0"
"Sharkleberryfin","2","0","4","2.0"
"jack","2","0","1","0.5"
"RealSlimShady","2","0","5","2.5"
"General Kenobi","2","0","4","2.0"
"Arnold","2","0","5","2.5"
"Attrition","2","0","5","2.5"
"Z.Z","2","0","4","2.0"
"Faker","1","0","3","3.0"
"Tyleron","2","0","5","2.5"
"deadpool","0","1","0","0"
"psl","2","0","3","1.5"
"nicktsy","1","1","2","2.0"
"Intoku","2","0","3","1.5"
"Yatagarasu","2","0","6","3.0"
"aeronite v2","2","0","5","2.5"
"vash","1","0","3","3.0"
"
"
"Clan Overview"
"Total attacks","77"
"Total unused attacks","13"
"Total stars","157"
"
"
"TH11","3","0","0","0","3"
"TH12","13","17","5","0","35"
"TH13","5","10","4","1","20"
"TH14","0","14","3","2","19"
"3 stars","2 stars","1 star","0 star"
