"Player Overview"
"Player","Total attacks","Unused attacks","Total stars","Avg star per attack"
"tobi","4","0","9","2.2"
"DARK_LORD","4","0","10","2.5"
"Samsara","3","1","9","3.0"
"Big Al 69","4","0","7","1.8"
"danhd","4","0","8","2.0"
"somanyflames","3","1","6","2.0"
"KING","4","0","8","2.0"
"banana_slayer","4","0","10","2.5"
"CHRIS","4","0","12","3.0"
"King Lewis","0","2","0","0"
"• SAMMON •","4","0","12","3.0"
"THE DUDE","3","1","5","1.7"
"Shark","2","2","6","3.0"
"Harsh Vardhan","4","0","10","2.5"
"TBadBoy","4","0","10","2.5"
"Squiblers","4","0","7","1.8"
"IshyFishy","2","0","2","1.0"
"Cal","4","0","7","1.8"
"Death Dealer","2","0","5","2.5"
"minjae","2","0","6","3.0"
"ZZ.mini","2","0","6","3.0"
"joebreh","2","0","5","2.5"
"Takasugi","2","0","4","2.0"
"Usman","2","0","4","2.0"
"Poi-chan","1","1","2","2.0"
"Tobes","2","0","6","3.0"
"Venuez","2","0","4","2.0"
"Edgelord","2","0","5","2.5"
"pritam","2","0","5","2.5"
"ABHI⚔️","2","0","3","1.5"
"MrJungles","2","0","4","2.0"
"Dallas","2","0","5","2.5"
"BigH","2","0","3","1.5"
"Idanlevitski","2","0","4","2.0"
"
"
"Clan Overview"
"Total attacks","92"
"Total unused attacks","8"
"Total stars","209"
"
"
"TH5","1","0","0","0","1"
"TH9","3","1","0","0","4"
"TH10","9","0","2","0","11"
"TH11","21","10","5","0","36"
"TH12","7","10","7","0","24"
"TH13","1","3","5","0","9"
"TH14","4","1","2","0","7"
"3 stars","2 stars","1 star","0 star"
