"Player Overview"
"Player","Total attacks","Unused attacks","Total stars","Avg star per attack"
"Cheetos","2","0","6","3.0"
"bluestar","2","0","6","3.0"
"Myth","2","0","6","3.0"
"Xiris","2","0","6","3.0"
"Ascend","2","0","6","3.0"
"K Y L E","1","1","1","1.0"
"Derkus","1","1","1","1.0"
"ProperSmurf","2","0","0","0.0"
"El Guapo","2","0","5","2.5"
"Britt^3","2","0","6","3.0"
"QF","2","0","6","3.0"
"Unchained17","2","0","5","2.5"
"dawson","2","0","4","2.0"
"Bond","1","1","2","2.0"
"kaneki","1","1","3","3.0"
"Cicada","0","2","0","0"
"Brit^4","2","0","6","3.0"
"RollyPolly","2","0","6","3.0"
"troops","2","0","6","3.0"
"Dr.Spa","0","2","0","0"
"
"
"Clan Overview"
"Total attacks","32"
"Total unused attacks","8"
"Total stars","81"
"
"
"TH8","5","0","0","2","7"
"TH9","8","3","0","0","11"
"TH10","10","2","2","0","14"
"3 stars","2 stars","1 star","0 star"
