tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#LJJQLQYPJ,Glatter Aal,15,12,11500471,1,#LJJQLQYPJ,#8GUUGV9C,2,2,82,#8GUUGV9C,JM,18,12,0,#2L29RRJU9,DeadSages Elite,10,#2P0YGU0RU,Dschungelbuch,16,2021-12-26 18:41:19,20,normal
#LYYYUG92C,A.s.f.R.s,11,12,11500471,2,#LYYYUG92C,#9ULPPGR98,2,2,70,#9ULPPGR98,Daniellosboy,19,12,0,#2L29RRJU9,DeadSages Elite,10,#2P0YGU0RU,Dschungelbuch,16,2021-12-26 18:41:19,20,normal
#LYYYUG92C,A.s.f.R.s,11,12,11500471,3,#LYYYUG92C,#YCJYUV89U,2,2,70,#YCJYUV89U,nicktsy,17,12,0,#2L29RRJU9,DeadSages Elite,10,#2P0YGU0RU,Dschungelbuch,16,2021-12-26 18:41:19,20,normal
#PR0C0R2VV,The Man Above,6,13,11500471,4,#PR0C0R2VV,#80Q08RU2,2,2,81,#80Q08RU2,☆EARKAE☆,6,13,1,#2L29RRJU9,DeadSages Elite,10,#2P0YGU0RU,Dschungelbuch,16,2021-12-26 18:41:19,20,normal
#808CCPVQ9,Slice n' Dice,20,11,11500471,5,#808CCPVQ9,#QG22CYQQ9,3,3,100,#QG22CYQQ9,fritz,20,8,1,#2L29RRJU9,DeadSages Elite,10,#2P0YGU0RU,Dschungelbuch,16,2021-12-26 18:41:19,20,normal
#LJJQLQYPJ,Glatter Aal,15,12,11500471,6,#LJJQLQYPJ,#808CCPVQ9,2,2,94,#808CCPVQ9,Slice n' Dice,20,11,0,#2L29RRJU9,DeadSages Elite,10,#2P0YGU0RU,Dschungelbuch,16,2021-12-26 18:41:19,20,normal
#QJG0U98G,Martin,8,13,11500471,7,#QJG0U98G,#LR0VJPJ9J,3,3,100,#LR0VJPJ9J,theriot,11,12,0,#2L29RRJU9,DeadSages Elite,10,#2P0YGU0RU,Dschungelbuch,16,2021-12-26 18:41:19,20,normal
#808CCPVQ9,Slice n' Dice,20,11,11500471,8,#808CCPVQ9,#Y89G9QJ8,2,2,73,#Y89G9QJ8,jarhead 2893,19,11,1,#2L29RRJU9,DeadSages Elite,10,#2P0YGU0RU,Dschungelbuch,16,2021-12-26 18:41:19,20,normal
#PVRJPLQCJ,Dark_Warrior,11,12,11496421,1,#PVRJPLQCJ,#9ULPPGR98,3,3,100,#9ULPPGR98,Daniellosboy,14,11,0,#2L29RRJU9,DeadSages Elite,10,#GCUVUGRQ,BOMB SQUAD,18,2021-12-23 16:02:49,20,normal
#P8RUQ80RC,DEVIL,6,13,11496421,2,#P8RUQ80RC,#Q29JUQGQR,2,2,95,#Q29JUQGQR,Crepe Devourer,10,12,0,#2L29RRJU9,DeadSages Elite,10,#GCUVUGRQ,BOMB SQUAD,18,2021-12-23 16:02:49,20,normal
#PVRJPLQCJ,Dark_Warrior,11,12,11496421,3,#PVRJPLQCJ,#YCJYUV89U,2,2,82,#YCJYUV89U,nicktsy,12,12,0,#2L29RRJU9,DeadSages Elite,10,#GCUVUGRQ,BOMB SQUAD,18,2021-12-23 16:02:49,20,normal
#PR0C0R2VV,The Man Above,5,13,11496421,4,#PR0C0R2VV,#2L2CGUJCQ,3,3,100,#2L2CGUJCQ,RiTiK rAiNa,5,13,1,#2L29RRJU9,DeadSages Elite,10,#GCUVUGRQ,BOMB SQUAD,18,2021-12-23 16:02:49,20,normal
#YJUC8C0QG,Gulati Ji,1,14,11496421,5,#YJUC8C0QG,#2YP82R0R,2,2,77,#2YP82R0R,aeronite,1,14,0,#2L29RRJU9,DeadSages Elite,10,#GCUVUGRQ,BOMB SQUAD,18,2021-12-23 16:02:49,20,normal
#2YP82R0R,aeronite,1,14,11496421,6,#2YP82R0R,#YJUC8C0QG,2,2,70,#YJUC8C0QG,Gulati Ji,1,14,1,#2L29RRJU9,DeadSages Elite,10,#GCUVUGRQ,BOMB SQUAD,18,2021-12-23 16:02:49,20,normal
#YQYV2J9CR,Litty,18,11,11496421,7,#YQYV2J9CR,#YRVPVPQ0L,2,2,61,#YRVPVPQ0L,MrPapayaman,20,11,0,#2L29RRJU9,DeadSages Elite,10,#GCUVUGRQ,BOMB SQUAD,18,2021-12-23 16:02:49,20,normal
#9ULPPGR98,Daniellosboy,14,11,11496421,8,#9ULPPGR98,#9GLUY022J,3,3,100,#9GLUY022J,Aman Jugran,17,11,1,#2L29RRJU9,DeadSages Elite,10,#GCUVUGRQ,BOMB SQUAD,18,2021-12-23 16:02:49,20,normal
