tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#QQ9R90Y22,Ray,27,9,11499462,1,#QQ9R90Y22,#9QPJR20VV,2,2,89,#9QPJR20VV,jacker,27,8,0,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#QGLRYC9LC,Pyro,39,8,11499462,2,#QGLRYC9LC,#QRPUPP02Q,3,3,100,#QRPUPP02Q,electric857salt,39,7,0,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#QLR82V89G,Rain,28,8,11499462,3,#QLR82V89G,#QLP2PG0P0,3,3,100,#QLP2PG0P0,diooo caneeeeee,30,8,1,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#L820V08C0,Minikab,24,9,11499462,4,#L820V08C0,#LVUCGUYY9,3,3,100,#LVUCGUYY9,tidehigh fan 1,24,9,0,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#Q0G08YVUP,Ross,26,9,11499462,5,#Q0G08YVUP,#L2L9G2PQ0,2,2,72,#L2L9G2PQ0,Britt^3,26,8,0,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#LYGUC2Y09,Fabbe,22,9,11499462,6,#LYGUC2Y09,#L0VV8CRJJ,1,1,50,#L0VV8CRJJ,MasterGabe,22,9,1,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#YPJVRLU8V,kaneki,32,8,11499462,7,#YPJVRLU8V,#QQV2YLQU2,3,3,100,#QQV2YLQU2,< JOK€R >,32,8,1,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#QLRC98PJR,ILikeCheese,40,7,11499462,8,#QLRC98PJR,#QLPLP808L,0,0,39,#QLPLP808L,pietro06,40,8,1,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#QLR82V89G,Rain,28,8,11499462,9,#QLR82V89G,#QLG28R9Q2,3,3,100,#QLG28R9Q2,Tr_Eagle,36,8,1,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#QLRC98PJR,ILikeCheese,40,7,11499462,10,#QLRC98PJR,#QGLRYC9LC,0,0,35,#QGLRYC9LC,Pyro,39,8,1,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
#9QPJR20VV,jacker,27,8,11499462,11,#9QPJR20VV,#QQ9R90Y22,2,2,90,#QQ9R90Y22,Ray,27,9,1,#2PYQ0V822,DeadSages Max,5,#2YRJVG29Y,MAZAR,5,2021-12-25 20:23:19,40,normal
