tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#QYPRY82PG,daplen,20,10,11499497,1,#QYPRY82PG,#LYGLULPPV,3,3,100,#LYGLULPPV,MehmetaliZH,20,9,1,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#LVL90QUR2,pritam,12,10,11499497,2,#LVL90QUR2,#9QVQQJCQL,1,1,70,#9QVQQJCQL,Twyx,12,10,1,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#29P8CPUL8,TBadBoy,17,10,11499497,3,#29P8CPUL8,#8QV9QY0VG,3,3,100,#8QV9QY0VG,Felix,17,10,1,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#PU82G0G2,Mehmetali,3,12,11499497,4,#PU82G0G2,#Q0P0RLYJV,1,1,98,#Q0P0RLYJV,ZZ.mini,3,13,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#L9J9RR9Q8,Chamäleon,9,11,11499497,5,#L9J9RR9Q8,#YJ0C2GPVQ,3,3,100,#YJ0C2GPVQ,King Lewis,10,10,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#PU82G0G2,Mehmetali,3,12,11499497,6,#PU82G0G2,#G2VVVU8Y,3,3,100,#G2VVVU8Y,KING,5,12,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#29P8CPUL8,TBadBoy,17,10,11499497,7,#29P8CPUL8,#9QVQQJCQL,3,2,100,#9QVQQJCQL,Twyx,12,10,1,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#PVG2CUUJ,maxbrown,15,10,11499497,8,#PVG2CUUJ,#QLV2RJ0Q0,2,2,50,#QLV2RJ0Q0,Harsh Vardhan,15,10,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#YUQU0GV22,AsiaRiceMaker,16,10,11499497,9,#YUQU0GV22,#2PYVJJR9,2,2,78,#2PYVJJR9,Shark,16,10,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#28YJQJC8Y,CASON,14,10,11499497,10,#28YJQJC8Y,#YRQ8L9L9V,1,1,69,#YRQ8L9L9V,Ensar,14,10,1,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#LPUUQRL0U,Breel_44,5,11,11499497,11,#LPUUQRL0U,#L082Y0U8R,2,2,64,#L082Y0U8R,Usman,6,11,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#28GPR2RCP,santo-loco,1,13,11499497,12,#28GPR2RCP,#8LQYQY22G,2,2,79,#8LQYQY22G,Britt^2,1,14,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#2PYVJJR9,Shark,16,10,11499497,13,#2PYVJJR9,#YUQU0GV22,0,0,42,#YUQU0GV22,AsiaRiceMaker,16,10,1,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#28GPR2RCP,santo-loco,1,13,11499497,14,#28GPR2RCP,#2L28JPPU2,3,3,100,#2L28JPPU2,Anmol,2,12,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#22V999YRR,WAR-CN♣️Ali,19,9,11499497,15,#22V999YRR,#2GYJ8VYG,2,2,97,#2GYJ8VYG,Pink Panther,18,10,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
#LYGLULPPV,MehmetaliZH,20,9,11499497,16,#LYGLULPPV,#QYPRY82PG,1,1,59,#QYPRY82PG,daplen,20,10,0,#2YGUPUU82,DeadSages,10,#P998JPL2,WAR-CLAN,13,2021-12-25 21:03:15,20,normal
