tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#Q20092PU9,Legui,22,8,11416178,1,#Q20092PU9,#QJLU0GGQQ,3,3,100,#QJLU0GGQQ,pottif,22,5,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#QRYGR0CGJ,Picyu,21,7,11416178,2,#QRYGR0CGJ,#QLLLRL0RY,3,3,100,#QLLLRL0RY,Ran꧕y,25,7,0,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#QLGPPRCQJ,hiddenleaf,21,8,11416178,3,#QLGPPRCQJ,#QRYGR0CGJ,3,3,100,#QRYGR0CGJ,Picyu,21,7,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#LVRG0J2RQ,_ittzmeputo_,16,9,11416178,4,#LVRG0J2RQ,#QJP92L2GL,3,3,100,#QJP92L2GL,Siegmahr,20,7,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#LY8G880R9,mewantsdie,24,7,11416178,5,#LY8G880R9,#QG0CRRVG2,3,3,100,#QG0CRRVG2,Lvl.1 RegamL,24,4,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#QLGPPRCQJ,hiddenleaf,21,8,11416178,6,#QLGPPRCQJ,#QQYJCQCGY,3,3,100,#QQYJCQCGY,BeastY,18,8,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#QRYGR0CGJ,Picyu,21,7,11416178,7,#QRYGR0CGJ,#LY8G880R9,2,2,71,#LY8G880R9,mewantsdie,24,7,0,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#QQJP2RRPJ,Corn,19,8,11416178,8,#QQJP2RRPJ,#Y9P8GQU20,3,3,100,#Y9P8GQU20,Corporal,19,8,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#Q9LPPRRU,dnice,6,11,11416178,9,#Q9LPPRRU,#PV0Q2J2JR,2,2,99,#PV0Q2J2JR,General,6,10,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#Q9LPPRRU,dnice,6,11,11416178,10,#Q9LPPRRU,#LCJU99Q20,3,3,100,#LCJU99Q20,Anas_836,10,11,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#Y8GV0GJQP,Моикеу D. Luffi,1,13,11416178,11,#Y8GV0GJQP,#9LYYL2PR0,1,1,36,#9LYYL2PR0,[X_UNI_X],1,13,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#202LY89CP,NewbieNoob,8,10,11416178,12,#202LY89CP,#Q8VY8UPCY,2,2,85,#Q8VY8UPCY,XoX-strato,9,10,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#89QVRCYQG,eksk,20,8,11416178,13,#89QVRCYQG,#QR20VGJPY,3,3,100,#QR20VGJPY,Hendrik,17,8,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#LVRG0J2RQ,_ittzmeputo_,16,9,11416178,14,#LVRG0J2RQ,#QL28JUJQJ,3,3,100,#QL28JUJQJ,jopafi,23,5,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#89QVRCYQG,eksk,20,8,11416178,15,#89QVRCYQG,#YCRUYU2YG,3,3,100,#YCRUYU2YG,Sergeant,16,9,1,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
#QJP92L2GL,Siegmahr,20,7,11416178,16,#QJP92L2GL,#QLGPPRCQJ,1,1,72,#QLGPPRCQJ,hiddenleaf,21,8,0,#2998V8JG0,Tox1cBandits,10,#U9JGPYJY,ANMS,10,2021-11-28 19:03:13,25,normal
