"Player Overview"
"Player","Total attacks","Unused attacks","Total stars","Avg star per attack"
"Rain","4","0","12","3.0"
"Fabbe","2","4","2","1.0"
"kaneki","7","1","19","2.7"
"ILikeCheese","3","0","0","0.0"
"jacker","8","1","18","2.2"
"Hyperion","15","0","44","2.9"
"Britt^3","7","0","18","2.6"
"Minion","4","8","7","1.8"
"Enderkool2021","8","1","20","2.5"
"Rudolf","3","0","9","3.0"
"Malirr","8","0","21","2.6"
"tidehigh72","10","0","27","2.7"
"tidehigh73","11","0","28","2.5"
"tidehigh70","11","1","30","2.7"
"tidehigh74","11","0","27","2.5"
"tidehigh75","8","0","23","2.9"
"tidehigh76","8","1","21","2.6"
"eksk","4","1","10","2.5"
"THE_DUDE","14","1","33","2.4"
"Suehtomitoet","6","2","17","2.8"
"Edgelord","8","0","18","2.2"
"SAMMON","12","0","33","2.8"
"ismile","7","0","16","2.3"
"pluvio","8","0","12","1.5"
"ISMILE","8","0","18","2.2"
"WeakLogic","14","1","40","2.9"
"Rylanmetor473YT","1","1","3","3.0"
"LiquidLover","4","4","8","2.0"
"tidehigh_fan_1","1","1","1","1.0"
"tomer143","8","1","21","2.6"
"Idanlevitski","15","0","30","2.0"
"ProperSmurf","5","1","9","1.8"
"eeqbal","7","1","17","2.4"
"LegenderyPotato","7","0","18","2.6"
"Hass","13","1","28","2.2"
"wuekinger","2","0","6","3.0"
"DUDE_SE","6","2","13","2.2"
"Tigraz","5","1","14","2.8"
"zamsler","6","0","15","2.5"
"Giscasho","7","2","20","2.9"
"Seenu","1","0","3","3.0"
"Winter","2","0","5","2.5"
"Vansh_Bhaskar","5","6","11","2.2"
"ferretbusiness","3","0","8","2.7"
"Aloszyk","2","1","4","2.0"
"UTSAV_N_P","2","0","2","1.0"
"natious","9","4","22","2.4"
"clashfam","6","0","17","2.8"
"Rob_Dolla$","1","0","2","2.0"
"electric857salt","1","8","1","1.0"
"VIRAL_N_S","1","0","3","3.0"
"ProperAlt","1","1","3","3.0"
"Shake","1","3","2","2.0"
"drrps","5","5","15","3.0"
"t._mac","7","4","21","3.0"
"aeronite_v6","1","2","2","2.0"
"Owen","1","0","3","3.0"
"WaterDam","1","0","2","2.0"
"darkprinceethio","0","4","0","0"
"VICI","0","2","0","0"
"ralph","0","2","0","0"
"UTSAV\_N\_P","0","2","0","0"
"L3mUR","0","2","0","0"
"S1oTH","0","2","0","0"
"
"
"Clan Overview"
"Total attacks","346"
"Total unused attacks","85"
"Total stars","852"
"
"
"TH3","1","0","0","0","1"
"TH4","1","0","0","0","1"
"TH5","7","1","0","0","8"
"TH6","8","1","2","1","12"
"TH7","38","6","4","4","52"
"TH8","62","8","3","2","75"
"TH9","71","16","16","3","106"
"TH10","34","10","3","3","50"
"TH11","10","10","11","1","32"
"TH12","1","4","2","1","8"
"TH13","0","0","0","1","1"
"3 stars","2 stars","1 star","0 star"
