tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#Q9GL90U28,Alex The Wise,20,6,11131658,1,#Q9GL90U28,#Q0LGR2RRG,1,1,68,#Q0LGR2RRG,Fariba R,20,7,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#2GCV29CGG,Sandip!,15,9,11131658,2,#2GCV29CGG,#Q8Q9G8J9R,2,2,95,#Q8Q9G8J9R,koko,17,9,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#2GQ22RCCG,Hero,12,10,11131658,3,#2GQ22RCCG,#82VGCYV0P,3,3,100,#82VGCYV0P,amir,8,10,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#Y8QUY2LLQ,marbear,17,9,11131658,4,#Y8QUY2LLQ,#2YRQRU8UG,3,3,100,#2YRQRU8UG,YASIN.... VY,16,9,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#Y8QUY2LLQ,marbear,17,9,11131658,5,#Y8QUY2LLQ,#P9UU20VPP,3,3,100,#P9UU20VPP,Amin Khan,18,9,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#LPPQJQYJU,qwertyuiop6,9,10,11131658,6,#LPPQJQYJU,#L0LPRPC9Q,3,3,100,#L0LPRPC9Q,God of war,9,10,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#22Q8Y2CU9,Willy,7,10,11131658,7,#22Q8Y2CU9,#P92Y89J9L,2,2,99,#P92Y89J9L,Bahar.Y,10,10,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#2GQ22RCCG,Hero,12,10,11131658,8,#2GQ22RCCG,#LCR0JRP8P,3,3,100,#LCR0JRP8P,میلاد کورد,11,10,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#L2RCPVJV,Robin,6,11,11131658,9,#L2RCPVJV,#L208CJ08R,3,3,100,#L208CJ08R,amir,6,11,1,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
#Q0LGR2RRG,Fariba R,20,7,11131658,10,#Q0LGR2RRG,#Q9GL90U28,3,3,100,#Q9GL90U28,Alex The Wise,20,6,0,#C2QPR82Q,Golden Clan,18,#JG2GLGYP,Who Are We,9,2021-08-26 20:09:07,20,normal
