tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#8PYQ0LCG,-_-Jambo-_-,4,11,11139164,1,#8PYQ0LCG,#GQ8R9CUL,3,3,100,#GQ8R9CUL,Paradigm,4,11,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#RVYY9Q8P,ZekeTheFreak,1,12,11139164,2,#RVYY9Q8P,#Y99JYP2Q,3,3,100,#Y99JYP2Q,Alex,2,11,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#8PYQ0LCG,-_-Jambo-_-,4,11,11139164,3,#8PYQ0LCG,#8U8Y9LQJJ,1,1,96,#8U8Y9LQJJ,chocopie,5,11,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#2G2QJG0J9,genos,1,12,11139164,4,#2G2QJG0J9,#RVYY9Q8P,3,3,100,#RVYY9Q8P,ZekeTheFreak,1,12,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#Y9R8VC00,DANG,7,10,11139164,5,#Y9R8VC00,#L9J00GRG,3,3,100,#L9J00GRG,nargepuff,7,10,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#9VV0QLYU,Reveration,12,9,11139164,6,#9VV0QLYU,#Q8R0Q2L2G,3,3,100,#Q8R0Q2L2G,Bernie,12,9,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#YQ2PYYJL8,kennmark,13,9,11139164,7,#YQ2PYYJL8,#9PJG98QCR,3,3,100,#9PJG98QCR,Right Pix,13,8,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#9VV0QLYU,Reveration,12,9,11139164,8,#9VV0QLYU,#YQ2PYYJL8,3,3,100,#YQ2PYYJL8,kennmark,13,9,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#Y99JYP2Q,Alex,2,11,11139164,9,#Y99JYP2Q,#8PYQ0LCG,3,3,100,#8PYQ0LCG,-_-Jambo-_-,4,11,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#QG0JGGVY0,Mugiwara,15,8,11139164,10,#QG0JGGVY0,#QPLLY8QYL,1,1,63,#QPLLY8QYL,Lt. poggers,14,8,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#Y9R8VC00,DANG,7,10,11139164,11,#Y9R8VC00,#Q9RP8QURQ,3,3,100,#Q9RP8QURQ,Raler,8,10,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#2G2QJG0J9,genos,1,12,11139164,12,#2G2QJG0J9,#YR0QRUYCY,2,2,94,#YR0QRUYCY,morfovvt,2,11,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#Y99JYP2Q,Alex,2,11,11139164,13,#Y99JYP2Q,#JCYYY9VY,2,2,99,#JCYYY9VY,Blue,3,11,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#8U8Y9LQJJ,chocopie,5,11,11139164,14,#8U8Y9LQJJ,#JCYYY9VY,2,0,93,#JCYYY9VY,Blue,3,11,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#QG0JGGVY0,Mugiwara,15,8,11139164,15,#QG0JGGVY0,#LLURGGVP0,3,3,100,#LLURGGVP0,MiniPix,15,5,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#8U8Y9LQJJ,chocopie,5,11,11139164,16,#8U8Y9LQJJ,#YR0QRUYCY,1,0,88,#YR0QRUYCY,morfovvt,2,11,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#RVYY9Q8P,ZekeTheFreak,1,12,11139164,17,#RVYY9Q8P,#2G2QJG0J9,3,3,100,#2G2QJG0J9,genos,1,12,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#JCYYY9VY,Blue,3,11,11139164,18,#JCYYY9VY,#8U8Y9LQJJ,3,2,100,#8U8Y9LQJJ,chocopie,5,11,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#QPLLY8QYL,Lt. poggers,14,8,11139164,19,#QPLLY8QYL,#QG0JGGVY0,3,3,100,#QG0JGGVY0,Mugiwara,15,8,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#QPLLY8QYL,Lt. poggers,14,8,11139164,20,#QPLLY8QYL,#RRC8CVUG,3,3,100,#RRC8CVUG,Swimmergirl 52,14,8,1,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#YCPQ2RPV,yo ho ho,6,10,11139164,21,#YCPQ2RPV,#Q0L0VY0PQ,3,3,100,#Q0L0VY0PQ,Kismet_27,9,9,0,#VUCVG2J0,Sheer Force,15,#P0RRGR9C,Dark Anima,9,2021-08-30 20:39:29,15,normal
#Q9V8UJPCP,:(خالد,15,8,11133413,1,#Q9V8UJPCP,#LLURGGVP0,3,3,100,#LLURGGVP0,MiniPix,15,5,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
